host_id,timestamp,src_ip,dst_ip,port,protocol,bytes_sent,bytes_received,duration,destination_category
BACKUP-SERVER-01,2026-09-01 01:32:46,192.168.1.200,52.216.146.90,443,TCP,469972293,5716,2441,Approved Cloud Provider
FIN-PC-07,2026-09-01 03:21:35,192.168.1.107,104.28.14.99,443,TCP,6705314,4099,540,Uncategorized
BACKUP-SERVER-01,2026-09-01 09:02:02,192.168.1.200,10.0.0.47,443,TCP,25751,995740,14,Known
DEV-PC-01,2026-09-01 09:02:42,192.168.1.50,10.0.0.33,80,TCP,286727,325098,28,Known
FIN-PC-07,2026-09-01 09:06:59,192.168.1.107,10.0.0.43,80,TCP,306058,958937,19,Known
DEV-PC-01,2026-09-01 09:11:29,192.168.1.50,10.0.0.33,80,TCP,304550,665093,24,Known
HR-PC-02,2026-09-01 09:11:33,192.168.1.102,10.0.0.21,443,TCP,190315,965023,30,Known
FIN-PC-07,2026-09-01 09:12:21,192.168.1.107,10.0.0.42,443,TCP,219396,741124,43,Known
HR-PC-02,2026-09-01 09:26:24,192.168.1.102,10.0.0.20,80,TCP,9872,135205,74,Known
DEV-PC-01,2026-09-01 09:28:12,192.168.1.50,10.0.0.32,80,TCP,380788,185503,59,Known
DEV-PC-01,2026-09-01 09:44:00,192.168.1.50,10.0.0.19,80,TCP,498193,688291,3,Known
FIN-PC-07,2026-09-01 09:44:22,192.168.1.107,10.0.0.22,443,TCP,105304,997365,40,Known
BACKUP-SERVER-01,2026-09-01 09:47:27,192.168.1.200,10.0.0.39,443,TCP,192390,699147,118,Known
FIN-PC-07,2026-09-01 09:48:29,192.168.1.107,10.0.0.50,80,TCP,485971,549900,9,Known
FIN-PC-07,2026-09-01 09:53:39,192.168.1.107,10.0.0.13,443,TCP,339555,749397,15,Known
BACKUP-SERVER-01,2026-09-01 09:57:47,192.168.1.200,10.0.0.48,80,TCP,129331,535212,13,Known
HR-PC-02,2026-09-01 10:05:18,192.168.1.102,10.0.0.18,443,TCP,237699,377739,19,Known
BACKUP-SERVER-01,2026-09-01 10:26:12,192.168.1.200,10.0.0.49,80,TCP,413441,73308,115,Known
